,date,default_code,name_prod,subcateg_name,st_in,st_out,st_last,order_qty,qty_delivered,selisih,progress_sum,stock-so
908,2021-12-08,E1029B,EVA Porto 1029B size 30-35 @72,Medium,293.0,200.0,134.0,3.0,0.0,3.0,33.0,101.0
909,2021-12-08,E1038M,EVA Porto 1038M size 39-44 @48,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
910,2021-12-08,JPAI,PortoLady PAI size 36-40 @36,Medium,24.0,43.0,89.063,14.0,7.0,7.0,29.0,60.063
911,2021-12-08,AA001L-35,Shoe Porto AA 001L Navy size 36-40 @20,Very Fast,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
912,2021-12-08,E1015B,EVA Porto 1015B size 30-35 @72,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
913,2021-12-08,AA015M,Shoe Porto AA 015M Mix size 39-43 @20,Very Fast,0.0,0.0,219.0,0.0,0.0,0.0,0.0,219.0
914,2021-12-08,JCRV,PortoLady CRV size 36-40 @36,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
915,2021-12-08,BA201L-1,Shoe Porto BA 201L-1 All Black size 36-40 @40,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
916,2021-12-08,AD305K-35,Shoe Porto AD 305K Navy size 26-30 @20,Very Fast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
917,2021-12-08,E0038B,EVA KananKiri B38 size 30-35 @96,Fast,16.0,12.0,234.0,0.0,0.0,0.0,33.0,201.0
918,2021-12-08,EJPAX-B,Jellyshoes PortoLady PAX-B Black ,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
